timestamp_envio,timestamp_respuesta,exito,replica
1788283528.773785,1788283528.793851,1,C
1788283528.823697,1788283528.855538,1,A
1788283528.873665,1788283528.901634,1,A
1788283528.923764,1788283528.950216,1,A
1788283528.973731,1788283529.010880,1,C
1788283529.023728,1788283529.057492,1,C
1788283529.073848,1788283529.077589,1,A
1788283529.123726,1788283529.150111,1,A
1788283529.174018,1788283529.177841,1,A
1788283529.223684,1788283529.227833,1,A
1788283529.273904,1788283529.304845,1,A
1788283529.323651,1788283529.327501,1,A
1788283529.373726,1788283529.377782,1,A
1788283529.423898,1788283529.427645,1,A
1788283529.474076,1788283529.507056,1,A
1788283529.523971,1788283529.553438,1,A
1788283529.573916,1788283529.577820,1,A
1788283529.624117,1788283529.627946,1,A
1788283529.673961,1788283529.707681,1,C
1788283529.723973,1788283529.754038,1,C
1788283529.773788,1788283529.800033,1,C
1788283529.823942,1788283529.846719,1,C
1788283529.874044,1788283529.877633,1,C
1788283529.923671,1788283529.955666,1,A
1788283529.973825,1788283529.977798,1,A
1788283530.023729,1788283530.050380,1,A
1788283530.073931,1788283530.110037,1,A
1788283530.124199,1788283530.141208,1,C
1788283530.174119,1788283530.189645,1,A
1788283530.223925,1788283530.265503,1,C
1788283530.273795,1788283530.298135,1,C
1788283530.323993,1788283530.327853,1,A
1788283530.373789,1788283530.378758,1,C
1788283530.423685,1788283530.451776,1,C
1788283530.474062,1788283530.513834,1,A
1788283530.524041,1788283530.527934,1,A
1788283530.574045,1788283530.606863,1,C
1788283530.623744,1788283530.640030,1,C
1788283530.674119,1788283530.677943,1,A
1788283530.723642,1788283530.761746,1,C
1788283530.773633,1788283530.794883,1,C
1788283530.823915,1788283530.839646,1,C
1788283530.873654,1788283530.877703,1,A
1788283530.923704,1788283530.948057,1,C
1788283530.974032,1788283531.009873,1,A
1788283531.024123,1788283531.027901,1,C
1788283531.073812,1788283531.102210,1,C
1788283531.123859,1788283531.150559,1,C
1788283531.173858,1788283531.210846,1,A
1788283531.223747,1788283531.243372,1,C
1788283531.274020,1788283531.290148,1,A
1788283531.323980,1788283531.365887,1,A
1788283531.373680,1788283531.411539,1,C
1788283531.423965,1788283531.427807,1,C
1788283531.473872,1788283531.491769,1,C
1788283531.524015,1788283531.538436,1,A
1788283531.573656,1788283531.598378,1,A
1788283531.623706,1788283531.660940,1,A
1788283531.673703,1788283531.677748,1,A
1788283531.723659,1788283531.727170,1,A
1788283531.774094,1788283531.816257,1,A
1788283531.823728,1788283531.827601,1,A
1788283531.874097,1788283531.878812,1,C
1788283531.923628,1788283531.926751,1,A
1788283531.973924,1788283531.977886,1,A
1788283532.023821,1788283532.063401,1,C
1788283532.073703,1788283532.111090,1,A
1788283532.123943,1788283532.127155,1,C
1788283532.174048,1788283532.188878,1,A
1788283532.223877,1788283532.227636,1,A
1788283532.274099,1788283532.299578,1,A
1788283532.323699,1788283532.359016,1,C
1788283532.374027,1788283532.377845,1,A
1788283532.423642,1788283532.427339,1,A
1788283532.473665,1788283532.500801,1,A
1788283532.523701,1788283532.561359,1,C
1788283532.574105,1788283532.592542,1,A
1788283532.624085,1788283532.627857,1,A
1788283532.673764,1788283532.700324,1,C
1788283532.724095,1788283532.746866,1,C
1788283532.773654,1788283532.777594,1,A
1788283532.823820,1788283532.827339,1,A
1788283532.874120,1788283532.902751,1,A
1788283532.923866,1788283532.963582,1,A
