timestamp_envio,timestamp_respuesta,exito,replica,tarjeta,latency_ms
1788884337.340,1788884337.704,1,C,8220,346.19
1788884337.340,1788884337.703,1,B,8220,344.27
1788884337.340,1788884337.526,1,C,8220,166.59
1788884337.340,1788884337.586,1,A,8220,224.47
1788884337.340,1788884337.645,1,C,8220,283.00
1788884337.340,1788884337.700,1,A,8220,336.88
1788884337.340,1788884337.702,1,C,8220,337.77
1788884338.349,1788884338.404,1,C,5324,54.85
1788884338.349,1788884338.416,1,A,5324,64.92
1788884338.349,1788884338.626,1,A,5324,274.00
1788884338.349,1788884338.474,1,B,5324,121.33
1788884338.349,1788884338.427,1,A,5324,72.80
1788884338.349,1788884338.620,1,C,5324,264.41
1788884338.349,1788884338.624,1,A,5324,267.48
1788884338.349,1788884338.450,1,A,5324,92.16
1788884338.349,1788884338.640,1,A,5324,281.17
1788884338.349,1788884338.638,1,C,5324,277.99
1788884338.349,1788884338.621,1,C,5324,260.01
1788884338.349,1788884338.633,1,A,5324,271.57
1788884338.349,1788884338.522,1,B,5324,158.85
1788884338.349,1788884338.642,1,A,5324,278.39
1788884338.349,1788884338.643,1,A,5324,278.68
1788884338.349,1788884338.558,1,C,5324,192.22
1788884338.349,1788884338.633,1,A,5324,266.06
1788884338.349,1788884338.569,1,A,5324,200.81
1788884338.349,1788884338.632,1,C,5324,263.45
1788884338.349,1788884338.629,1,A,5324,259.94
1788884339.357,1788884339.419,1,A,9180,62.53
1788884339.357,1788884339.451,1,C,9180,92.36
1788884339.357,1788884339.603,1,C,9180,243.58
1788884339.357,1788884339.543,1,A,9180,182.66
1788884339.357,1788884339.447,1,A,9180,84.78
1788884339.357,1788884339.626,1,A,9180,262.85
1788884339.357,1788884339.570,1,C,9180,206.56
1788884339.357,1788884339.522,1,C,9180,157.99
1788884339.357,1788884339.625,1,C,9180,260.06
1788884339.357,1788884339.627,1,C,9180,261.34
1788884339.357,1788884339.616,1,A,9180,249.27
1788884339.357,1788884339.613,1,A,9180,244.83
1788884339.357,1788884339.524,1,C,9180,155.64
1788884339.357,1788884339.623,1,A,9180,253.12
1788884339.357,1788884339.622,1,C,9180,250.97
1788884339.357,1788884339.585,1,A,9180,213.50
1788884339.357,1788884339.596,1,C,9180,223.43
1788884339.357,1788884339.621,1,A,9180,247.77
1788884339.357,1788884339.617,1,A,9180,242.54
1788884339.357,1788884339.618,1,A,9180,242.31
1788884340.365,1788884340.406,1,A,8031,41.69
1788884340.365,1788884340.419,1,C,8031,53.18
1788884340.365,1788884340.566,1,A,8031,198.81
1788884340.365,1788884340.465,1,C,8031,96.38
1788884340.365,1788884340.442,1,C,8031,71.96
1788884340.365,1788884340.466,1,C,8031,94.87
1788884340.365,1788884340.505,1,A,8031,133.48
1788884340.365,1788884340.445,1,A,8031,72.77
1788884340.365,1788884340.521,1,A,8031,147.27
1788884340.365,1788884340.494,1,A,8031,119.63
1788884340.365,1788884340.558,1,C,8031,181.93
1788884340.365,1788884340.456,1,C,8031,78.79
1788884340.365,1788884340.532,1,A,8031,154.27
1788884340.365,1788884340.550,1,C,8031,171.78
1788884340.365,1788884340.475,1,A,8031,95.62
1788884340.365,1788884340.539,1,A,8031,157.61
